[2024-10-23 11:19:55] Faction: Аркадия, City: (80, 460), Action: Built 1 hospital(s)
[2024-10-23 11:19:59] Faction: Аркадия, City: (80, 460), Action: Built 1 factory(s)
[2024-10-23 11:20:35] Faction: Аркадия, City: (200, 560), Action: Built 1 factory(s)
[2024-10-23 11:24:16] Faction: Аркадия, City: (80, 460), Action: Built 1 factory(s)
[2024-10-23 11:24:17] Faction: Аркадия, City: (80, 460), Action: Built 1 factory(s)
[2024-10-23 11:24:24] Faction: Аркадия, City: (80, 460), Action: Built 1 hospital(s)
[2024-10-23 11:24:26] Faction: Аркадия, City: (80, 460), Action: Built 1 factory(s)
[2024-10-23 11:24:34] Faction: Аркадия, City: (80, 460), Action: Built 1 hospital(s)
[2024-10-23 11:24:35] Faction: Аркадия, City: (80, 460), Action: Built 1 hospital(s)
[2024-10-23 11:24:39] Faction: Аркадия, City: (80, 460), Action: Built 1 factory(s)
[2024-10-23 11:24:57] Faction: Аркадия, City: (80, 460), Action: Built 1 factory(s)
[2024-10-23 11:25:06] Faction: Аркадия, City: (80, 460), Action: Built 1 factory(s)
